SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
509835,PREMIER SYN.,X ,Q,16.60,16.60,16.60,16.60,16.60,17.45,5,164,2722.00,
509874,SHALIMAR PAI,B ,Q,82.70,82.70,77.60,79.45,79.55,81.30,108,8987,711185.00,
509895,HIND MILLS  ,X ,Q,299.05,305.00,299.05,305.00,305.00,314.70,5,59,17792.00,
509930,SUPREM IND  ,A ,Q,1138.50,1145.00,1131.10,1135.45,1131.10,1133.40,176,1340,1525506.00,
509966,VST INDUS.  ,A ,Q,3838.00,3838.00,3475.00,3522.40,3475.00,3592.45,168,651,2360367.00,
510245,SWASTI VINAY,X ,Q,2.85,2.93,2.85,2.89,2.89,2.87,10,697,2028.00,
511012,YAMINI INVES,XT,Q,0.22,0.24,0.22,0.24,0.24,0.23,27,80134,18083.00,
511034,JINDAL DRILL,B ,Q,103.95,106.00,103.10,103.55,103.60,101.80,103,5976,625268.00,
511064,APLAYA      ,X ,Q,0.20,0.22,0.20,0.22,0.22,0.21,39,190681,41687.00,
511066,SAKTHI FIN. ,X ,Q,19.00,19.00,18.10,18.25,18.10,17.80,14,2080,38285.00,
511072,DEWAN H.FIN.,A ,Q,162.00,168.90,154.10,167.35,167.35,161.05,21190,2764633,446849782.00,
511076,SAT IND LTD ,X ,Q,27.15,27.15,26.30,26.80,26.80,26.55,30,9256,246337.00,
511108,SHIVA TEXYAM,B ,Q,146.50,146.50,146.50,146.50,146.50,154.95,4,75,10987.00,
511110,V.B.DESAI   ,X ,Q,7.00,7.50,7.00,7.50,7.50,7.15,5,600,4450.00,
511116,QUADRANT    ,XT,Q,0.36,0.36,0.36,0.36,0.36,0.37,11,27586,9930.00,
511131,KAMAN HSG   ,X ,Q,8.13,9.90,8.13,8.13,8.13,9.03,18,3763,32447.00,
511144,ASYAINFO    ,X ,Q,3.15,3.15,3.15,3.15,3.15,3.15,2,60,189.00,
511147,WALL ST.FIN.,X ,Q,26.95,27.00,26.50,26.50,26.50,27.05,6,92,2482.00,
511196,CANFIN HOMES,A ,Q,362.45,363.00,348.55,354.75,354.75,360.95,1276,124216,43892074.00,
511208,IL & FS INVE,B ,Q,5.04,5.20,5.01,5.04,5.01,5.00,37,13527,68854.00,
511218,SHRIRAM TRAN,A ,Q,1238.40,1257.85,1220.50,1226.05,1227.80,1238.40,1870,66292,81554898.00,
511243,CHOLAFIN    ,A ,Q,1466.85,1492.15,1450.65,1481.30,1485.00,1471.10,755,14377,21119487.00,
511288,GRUH FINANCE,A ,Q,285.45,288.00,280.40,283.85,283.85,286.35,752,32911,9323965.00,
511333,VLS FINANCE ,B ,Q,60.40,60.40,58.00,59.35,59.55,59.70,131,7772,461822.00,
511359,AD-MANUM FIN,X ,Q,21.00,21.00,21.00,21.00,21.00,21.45,1,8,168.00,
511377,MEHTA I.FIN ,XT,Q,5.16,5.16,5.16,5.16,5.16,5.40,1,100,516.00,
511389,VIDEOCON IND,Z ,Q,2.56,2.56,2.47,2.48,2.47,2.60,103,77917,192706.00,
511411,SHRISTINFRA ,X ,Q,205.00,205.00,199.50,204.90,205.00,199.00,19,61,12467.00,
511413,CREST       ,B ,Q,129.00,130.00,127.25,127.25,127.25,129.00,4,75,9656.00,
511431,VAKRANGEE   ,A ,Q,54.90,56.35,54.05,55.95,55.95,54.20,7189,1783591,98793854.00,
511463,ALEXANDER   ,X ,Q,15.20,16.12,14.67,15.08,14.67,15.44,228,109782,1640476.00,
511473,IND.BANK MER,B ,Q,9.80,9.80,9.32,9.33,9.33,9.60,16,2290,21414.00,
511505,CAPITAL TRUS,B ,Q,200.15,218.00,200.15,218.00,218.00,219.90,5,214,45219.00,
511509,VIVO BIO TEC,X ,Q,51.85,54.90,51.85,52.10,52.00,51.85,19,856,44575.00,
511525,PAN INDIA C ,XT,Q,0.19,0.19,0.19,0.19,0.19,0.19,2,2000,380.00,
511533,SAHARA HOUSG,X ,Q,31.30,42.45,31.30,38.40,38.40,39.00,17,270,10329.00,
511549,MORARKA FIN.,X ,Q,27.75,27.75,27.75,27.75,27.75,27.75,2,10,277.00,
511551,MONARCH     ,X ,Q,37.50,37.50,35.20,35.30,35.30,35.55,27,4189,149725.00,
511557,PRO FIN CAP.,X ,Q,75.35,75.35,75.35,75.35,75.35,79.30,14,390,29386.00,
511559,TIMES GUARAN,T ,Q,32.15,32.15,32.15,32.15,32.15,33.80,1,100,3215.00,
511589,AVONMORE    ,X ,Q,16.80,16.80,15.05,15.49,15.50,15.64,76,20051,319514.00,
511605,ARIHANT CAP.,X ,Q,63.95,63.95,60.25,61.35,61.00,60.55,17,904,55736.00,
511658,NETTLINX LTD,X ,Q,38.00,38.00,37.00,37.30,37.00,38.20,68,26641,999056.00,
511664,BGIL FL TEC ,XT,Q,4.05,4.05,4.05,4.05,4.05,3.86,3,175,708.00,
511672,SCANSTL     ,X ,Q,40.00,40.00,38.00,40.00,40.00,39.40,17,611,24083.00,
511676,GIC HOUSING ,A ,Q,269.25,269.25,261.50,263.35,262.70,264.45,192,5781,1526488.00,
511688,MATHEW EASOW,X ,Q,11.75,11.75,11.75,11.75,11.75,11.75,4,50,587.00,
511696,CHARTERED CA,X ,Q,59.30,59.30,59.30,59.30,59.30,62.40,1,1,59.00,
511702,PARSHARTI IN,X ,Q,9.41,9.41,9.41,9.41,9.41,9.90,2,4,37.00,
511710,CUBICAL FIN.,X ,Q,1.05,1.05,1.05,1.05,1.05,1.05,2,85,89.00,
511712,RELIC TECHNO,X ,Q,8.51,8.51,8.51,8.51,8.51,8.95,1,50,425.00,
511716,ESCORT FINAN,XT,Q,3.50,3.50,3.50,3.50,3.50,3.34,1,100,350.00,
511724,BAID LEASING,X ,Q,69.05,75.45,69.05,72.15,73.45,71.90,27,589,41844.00,
511726,VIPUL LTD   ,B ,Q,43.00,43.70,42.55,43.15,43.00,42.70,28,17647,762752.00,
511736,USHDEV INTNL,XT,Q,0.25,0.25,0.25,0.25,0.25,0.26,11,14350,3587.00,
511742,UGROCAP     ,X ,Q,174.00,180.50,174.00,180.00,178.90,180.75,6,1064,191354.00,
511764,UPASANA FIN.,X ,Q,60.00,60.25,57.00,58.85,58.90,58.85,24,26635,1569705.00,
511766,MUTHOOT CAP ,B ,Q,889.40,923.00,884.05,889.75,890.60,889.40,109,1348,1219559.00,
511768,MASTER TRUST,X ,Q,32.95,32.95,32.95,32.95,32.95,31.40,2,1082,35651.00,
512018,CNI RES LTD ,XT,Q,2.10,2.20,2.00,2.19,2.01,2.10,28,6789,14586.00,
512048,LUHARUKA    ,X ,Q,0.76,0.76,0.76,0.76,0.76,0.80,1,71,53.00,
512068,DECCANGOLD  ,X ,Q,26.85,27.15,26.55,26.75,26.75,26.85,109,27497,737053.00,
512070,UPL         ,A ,Q,945.10,948.00,931.10,946.40,947.70,944.85,717,24927,23433236.00,
512093,CRANES SOFTW,X ,Q,1.75,1.88,1.71,1.78,1.80,1.80,41,9425,16700.00,
512131,SIGNET IND  ,B ,Q,36.15,38.45,36.15,36.90,36.90,38.15,10,954,35363.00,
512149,ADVANCE TECH,X ,Q,0.19,0.19,0.19,0.19,0.19,0.19,5,18000,3420.00,
512161,8KMILES     ,B ,Q,101.50,103.30,101.00,101.40,101.40,102.15,257,14078,1434473.00,
512165,ABANSENT    ,XT,Q,40.00,40.00,37.55,40.00,40.00,39.20,11,834,32977.00,
512175,VAMA INDS   ,X ,Q,7.80,7.99,7.40,7.78,7.78,8.21,36,10819,82825.00,
512179,SUNTECK REAL,A ,Q,485.75,492.30,473.00,484.35,485.00,485.40,1268,53172,25735858.00,
512215,VORA CONST. ,XT,Q,55.00,56.00,55.00,56.00,56.00,56.00,3,123,6839.00,
512229,VERITAS     ,XT,Q,52.10,52.10,52.10,52.10,52.10,53.00,2,150,7815.00,
512237,JAI CORP LTD,A ,Q,125.75,128.70,122.50,124.45,124.45,124.55,7183,870549,109261868.00,
512247,ASHIRWAD CAP,X ,Q,3.40,3.46,3.31,3.38,3.41,3.38,47,68790,232772.00,
512257,SVARTCORP   ,X ,Q,3.45,3.45,3.20,3.38,3.38,3.45,31,22241,72284.00,
512267,MEDIA MATRIX,X ,Q,5.45,5.45,4.36,5.15,5.15,4.55,10,4264,21231.00,
512289,SHIRPUR GOLD,B ,Q,31.80,31.85,28.85,28.85,28.85,30.35,637,250763,7496292.00,
512296,BHAGYA INL  ,B ,Q,33.60,33.60,30.00,30.50,30.50,32.00,11,2946,89605.00,
512379,CRESSANDA SO,X ,Q,0.23,0.23,0.23,0.23,0.23,0.24,10,34619,7962.00,
512381,STARTECK    ,XT,Q,23.15,23.25,23.05,23.25,23.25,23.20,5,1046,24268.00,
512393,SHARDUL SECU,X ,Q,52.70,52.70,52.70,52.70,52.70,52.70,1,10,527.00,
512425,NIRAV COMMER,X ,Q,248.55,248.55,248.55,248.55,248.55,236.75,1,20,4971.00,
512453,SHRI JAGDAMB,X ,Q,255.00,260.00,255.00,256.90,260.00,255.00,7,264,67335.00,
512455,LLOYDS MET E,X ,Q,12.05,12.95,11.51,12.57,12.57,12.18,269,1732585,20788551.00,
512477,BETEX INDIA ,X ,Q,28.50,29.40,28.50,29.00,28.60,29.85,3,1020,29080.00,
512485,DHANAL.COTEX,XT,Q,22.55,22.55,22.55,22.55,22.55,23.70,1,20,451.00,
512493,GARNET INTL ,X ,Q,56.15,56.20,50.00,50.00,50.00,51.10,8,895,45706.00,
512499,SHALIMAR PRO,X ,Q,0.49,0.49,0.49,0.49,0.49,0.49,1,1000,490.00,
512519,DONEAR IND. ,B ,Q,41.85,41.85,40.60,41.20,41.10,41.60,26,2148,88081.00,
512527,SUPER SAL IN,X ,Q,416.00,425.40,410.00,411.45,422.95,415.65,14,685,282770.00,
512529,SEQUENT     ,B ,Q,71.10,72.85,70.25,72.10,71.45,71.45,358,35915,2569007.00,
512531,STC INDIA   ,B ,Q,134.55,137.60,133.20,135.35,135.35,136.55,697,28799,3888045.00,
512553,ZENITH EXP. ,B ,Q,51.85,51.85,43.05,47.75,47.75,48.00,5,220,10965.00,
512559,KOHINORFOODS,B ,Q,30.15,30.25,30.00,30.15,30.15,30.25,32,2127,64077.00,
512573,AVANTI FEEDS,A ,Q,396.70,399.05,394.00,395.85,395.85,394.95,718,22202,8803194.00,
512587,ZODIAC JRD  ,B ,Q,38.80,38.80,37.90,37.90,37.90,35.90,2,2,76.00,
512599,ADANI ENTER ,A ,Q,142.70,147.00,137.50,146.25,146.25,141.95,3747,616801,87864597.00,
512604,HARIA EXPORT,X ,Q,0.88,0.88,0.88,0.88,0.88,0.84,1,140,123.00,
512608,BHANDARI HOS,B ,Q,1.92,2.18,1.90,1.95,1.90,2.00,46,71851,144345.00,
512634,SAVERA IND  ,X ,Q,67.35,68.90,65.60,67.40,68.90,69.50,7,513,34560.00,
513005,VBC FERRO   ,XT,Q,41.10,42.95,41.05,41.05,41.05,43.20,7,214,8787.00,
513010,TATA SPONGE ,B ,Q,749.75,761.30,739.90,744.00,744.00,750.70,422,4116,3070115.00,
513023,NAV BHAR VEN,A ,Q,103.50,103.60,102.75,103.15,102.75,103.05,84,3547,366175.00,
513043,REMI EDEL   ,X ,Q,32.55,32.55,32.55,32.55,32.55,31.25,1,20,651.00,
513059,G.S.AUTO INT,X ,Q,7.20,7.60,7.01,7.01,7.20,7.20,14,3301,23389.00,
513097,SHIV.BIMETAL,X ,Q,138.00,138.00,133.40,135.80,135.50,134.10,85,10035,1352512.00,
513108,GANDHI SP.TU,B ,Q,349.00,349.00,346.00,348.00,348.00,347.25,3,22,7638.00,
513121,ORICON ENT  ,B ,Q,28.15,28.40,27.75,27.85,28.40,28.05,20,3498,97855.00,
513142,BALASORE    ,Z ,Q,21.85,21.85,20.75,21.15,21.30,21.80,90,14896,310405.00,
513179,NAT STL AGRO,B ,Q,5.33,5.33,4.77,4.91,4.91,5.00,24,19584,95731.00,
513216,UTTAM GALVA ,B ,Q,10.70,10.70,10.20,10.28,10.25,10.60,67,16998,176285.00,
513228,PENNAR STEEL,B ,Q,38.10,38.10,36.95,37.00,37.00,37.70,57,4964,185043.00,
513250,JYOTI STRUCT,Z ,Q,3.17,3.17,3.17,3.17,3.17,3.02,80,264051,837041.00,
513252,JAY USHIN   ,XT,Q,374.90,374.90,374.90,374.90,374.90,369.95,1,1,374.00,
513262,ST.STR.WHEEL,B ,Q,859.50,860.00,847.45,857.35,858.00,858.20,33,295,252941.00,
513269,MAN IND.(I) ,B ,Q,67.75,67.75,66.85,67.25,66.85,67.80,47,2670,179504.00,
513291,PREM PIPES  ,XT,Q,13.13,13.13,13.13,13.13,13.13,12.88,1,50,656.00,
513295,IMEC        ,X ,Q,1.81,1.81,1.81,1.81,1.81,1.90,1,500,905.00,
513335,METALFORGE  ,B ,Q,11.00,11.35,10.55,11.08,11.10,11.42,81,10466,117367.00,
513349,AJMERA      ,B ,Q,190.30,192.80,186.05,190.25,190.00,189.55,164,5076,961511.00,
513353,COCHIN MIN. ,X ,Q,182.65,185.90,182.00,182.60,182.00,185.85,22,1814,332726.00,
513361,ISW LTD     ,Z ,Q,1.10,1.10,1.00,1.07,1.09,1.05,35,16839,17316.00,
513369,RAJKUMAR FRG,X ,Q,36.00,36.00,34.20,34.20,34.20,36.00,16,2812,97122.00,
513375,CARBORUNDUM ,A ,Q,385.00,385.75,379.00,381.45,379.90,388.40,263,12847,4898628.00,
513377,MINERAL&METL,A ,Q,28.05,28.20,27.75,27.95,28.00,28.30,281,82426,2300742.00,
513414,SMPL        ,T ,Q,0.54,0.54,0.51,0.54,0.54,0.53,16,16476,8786.00,
513434,TATA METALIK,A ,Q,648.05,660.00,648.05,657.35,651.00,655.85,241,2990,1961034.00,
513436,SHAH ALLOYS ,B ,Q,16.50,17.95,16.50,17.05,17.60,17.50,8,811,13778.00,
513446,MONNETISPA  ,B ,Q,28.95,29.15,28.60,28.65,28.65,28.65,40,8337,240648.00,
513456,KANISHK ST. ,XT,Q,10.18,10.18,10.18,10.18,10.18,9.70,7,2050,20869.00,
513488,SH.STEEL WIR,X ,Q,11.98,11.98,11.98,11.98,11.98,11.41,2,30,359.00,
513498,SOUTH.MAGNES,XT,Q,39.85,39.85,39.85,39.85,39.85,39.10,3,724,28851.00,
513509,KALYANI FORG,T ,Q,285.50,285.50,285.45,285.45,285.45,292.00,2,100,28547.00,
513511,PANCH.STEEL ,X ,Q,37.50,37.50,37.50,37.50,37.50,35.65,1,300,11250.00,
513513,ADITYA ISPAT,X ,Q,7.20,7.20,7.20,7.20,7.20,7.50,2,200,1440.00,
513517,STEELCAST   ,X ,Q,166.10,169.30,160.20,165.15,166.50,167.35,51,1318,217447.00,
513519,PITTIENG    ,B ,Q,55.60,56.10,54.65,55.40,55.40,56.90,15,887,49273.00,
513528,GLITTEK GRAN,X ,Q,1.66,1.66,1.66,1.66,1.66,1.65,1,1000,1660.00,
513536,GNRL        ,X ,Q,11.50,11.50,11.50,11.50,11.50,11.00,1,10,115.00,
513544,MARDIA SAMYG,Z ,Q,2.33,2.33,2.11,2.11,2.11,2.22,2,700,1618.00,
513554,MAHA STEEL  ,B ,Q,166.00,170.85,157.80,160.60,160.00,164.35,62,2558,414210.00,
513566,NOVA IRON&ST,XT,Q,4.33,4.36,4.33,4.36,4.36,4.52,2,72,313.00,
513599,HIND.COPPER ,A ,Q,50.10,50.50,49.50,49.90,49.90,50.10,509,97318,4863982.00,
513605,SRIPIPES    ,B ,Q,249.80,252.25,244.85,246.05,245.50,249.05,120,3263,805344.00,
513642,AXEL POLYMER,XT,Q,13.80,13.91,13.80,13.91,13.91,13.25,2,400,5542.00,
513683,NLCINDIA    ,A ,Q,67.90,68.25,67.65,68.05,68.05,68.10,136,26319,1789844.00,
513691,JMT AUTO LTD,B ,Q,2.85,2.85,2.59,2.64,2.64,2.70,8,8650,23299.00,
513693,KIC METALIKS,X ,Q,84.20,84.20,84.00,84.10,84.10,85.50,13,1318,110791.00,
513699,SOLID STONE ,X ,Q,89.30,89.30,89.30,89.30,89.30,94.00,4,17018,1519707.00,
513709,SHILP GRAVUR,X ,Q,89.25,93.30,88.15,89.25,88.40,91.05,18,307,27389.00,
513713,WHITEORG    ,X ,Q,25.30,29.30,25.10,27.75,27.75,24.45,1748,439149,12344358.00,
513729,ARO GRANITE ,B ,Q,49.95,50.00,48.65,48.90,48.65,49.20,11,285,14093.00,
514010,HIM.FIBRES  ,X ,Q,2.63,2.63,2.63,2.63,2.63,2.63,2,108,284.00,
514030,DEEPAK SPINN,X ,Q,98.50,99.00,98.50,99.00,99.00,98.50,10,1150,113707.00,
514034,JBF IND.LTD ,B ,Q,28.05,28.95,27.15,28.50,28.50,27.80,181,34595,968012.00,
514036,LOY.TEX MILL,X ,Q,409.95,409.95,402.00,402.60,402.00,401.30,14,71,28757.00,
514043,HIMAT.SEIDE ,B ,Q,216.20,221.90,211.25,219.25,219.10,218.35,476,17761,3867325.00,
514045,BSL LTD.    ,B ,Q,42.25,42.25,42.20,42.25,42.20,42.40,3,18,760.00,
514087,PBM POLYTEX ,X ,Q,77.25,77.70,77.25,77.70,77.70,77.10,4,162,12566.00,
514138,SURYALATA SP,X ,Q,135.00,135.00,135.00,135.00,135.00,132.65,1,200,27000.00,
514140,SURYAVA SPIN,XT,Q,4.58,5.06,4.58,5.06,5.06,4.82,3,450,2181.00,
514142,TT LTD.     ,B ,Q,51.10,53.60,51.10,53.55,53.55,54.10,8,656,34765.00,
514162,WELSPUN (I) ,A ,Q,58.25,58.25,57.15,57.45,57.45,57.75,481,63018,3629659.00,
514165,IND.ACRYLICS,X ,Q,13.64,13.64,12.99,12.99,12.99,13.67,111,62289,810149.00,
514167,GANESH ECOSP,B ,Q,330.00,341.00,325.65,335.95,341.00,323.75,30,482,160662.00,
514171,CEETA IND.  ,XT,Q,4.85,4.85,4.85,4.85,4.85,4.62,2,200,970.00,
514175,VARDHMAN POL,T ,Q,8.74,8.90,8.74,8.74,8.74,9.20,5,1500,13126.00,
514183,BLA ROS IND ,X ,Q,43.00,43.95,42.00,42.45,43.70,43.75,54,7260,308217.00,
514211,SUMEET INDUS,B ,Q,4.40,4.69,4.07,4.24,4.24,4.40,37,10566,45448.00,
514215,BINNY LTD.  ,X ,Q,141.70,142.00,133.00,137.50,137.50,136.00,14,390,53938.00,
514223,RAMGOPAL POL,T ,Q,2.25,2.25,2.25,2.25,2.25,2.15,2,400,900.00,
514234,SANGAM INDIA,B ,Q,63.90,63.90,63.90,63.90,63.90,65.35,1,1,63.00,
514266,ZENITH FIBRE,X ,Q,55.50,55.50,54.15,54.30,54.25,54.40,18,1729,94036.00,
514272,BHILWARA SP.,Z ,Q,11.00,12.05,11.00,12.05,12.05,11.48,14,4408,52726.00,
514274,AARVEE DENIM,B ,Q,22.75,24.40,22.75,23.85,23.85,23.90,6,366,8846.00,
514286,ASHIMA LTD. ,B ,Q,12.05,12.30,11.75,12.22,12.30,12.31,19,3721,44232.00,
514300,PIONEER EMB ,T ,Q,22.70,22.75,22.70,22.75,22.75,23.60,2,590,13397.00,
514302,VIPPY SPIN. ,X ,Q,40.00,40.00,40.00,40.00,40.00,40.00,1,100,4000.00,
514324,OMNITEX IND.,XT,Q,10.00,10.00,10.00,10.00,10.00,10.00,1,200,2000.00,
514326,PATSPIN INDI,B ,Q,10.30,11.00,10.25,10.99,10.99,11.19,5,385,4161.00,
514330,OVERSEAS SYN,X ,Q,3.60,3.60,3.60,3.60,3.60,3.60,6,295,1062.00,
514332,NEOINFRA    ,XT,Q,24.00,24.00,23.50,23.50,23.50,23.55,6,996,23556.00,
514348,WINSOME YRN ,T ,Q,1.06,1.06,1.02,1.02,1.02,1.04,5,38,39.00,
514354,PREMIER POLY,B ,Q,26.95,27.85,26.00,26.10,26.10,26.95,13,378,9901.00,
514394,AJIL        ,B ,Q,72.80,74.20,71.35,71.35,71.35,72.80,55,11243,804255.00,
514418,MANORG      ,X ,Q,569.50,571.80,556.05,563.15,561.00,564.45,241,8876,4999127.00,
514428,HINDU.ADHESI,X ,Q,76.80,78.00,76.80,77.80,77.80,77.50,5,27,2099.00,
514442,SRI KPR IND ,X ,Q,16.75,16.75,16.75,16.75,16.75,17.00,2,750,12562.00,
514448,JYOTI RESINS,X ,Q,105.00,112.00,105.00,110.70,112.00,107.00,40,2311,252103.00,
514450,MAHA.RUBTECH,X ,Q,37.50,39.75,37.10,39.75,39.75,39.65,14,787,30570.00,
514470,WIMSOME TEXT,B ,Q,25.65,26.90,25.10,26.90,26.90,25.65,7,353,9378.00,
514474,FAIRDEAL FIL,X ,Q,102.05,105.95,102.05,102.20,102.20,103.45,7,124,12679.00,
514486,POLYGENTA TE,XT,Q,1.06,1.06,1.06,1.06,1.06,1.11,1,10,10.00,
515018,REG.CERAMIC ,T ,Q,2.55,2.60,2.55,2.60,2.60,2.52,3,420,1086.00,
515030,ASAHI IN.GLA,A ,Q,247.00,254.50,243.65,250.30,250.30,242.30,162,8093,2009421.00,
515037,MURD.CERAM  ,B ,Q,21.70,21.90,21.45,21.50,21.45,22.25,15,3837,82624.00,
515043,SAINT-GOBAIN,X ,Q,57.00,57.90,55.90,56.20,56.50,56.90,180,22968,1297138.00,
515055,ANANTRAJ    ,B ,Q,33.50,33.85,33.15,33.50,33.50,33.50,131,26713,894649.00,
515059,MADHUS.IND. ,X ,Q,16.00,16.00,16.00,16.00,16.00,16.00,3,1015,16240.00,
515085,RESTILE CER.,X ,Q,3.94,3.94,3.44,3.50,3.65,3.57,23,2365,8409.00,
515093,MADHAV MARB.,B ,Q,42.55,42.55,42.50,42.50,42.50,42.55,4,239,10159.00,
515145,HIND.NAT.GLS,B ,Q,83.00,83.00,83.00,83.00,83.00,80.50,2,100,8300.00,
515147,HALDYN GLASS,X ,Q,34.55,35.90,34.55,35.05,35.00,35.05,32,8389,293751.00,
516003,DUROPLY     ,X ,Q,88.00,93.00,84.45,93.00,93.00,89.20,8,811,71160.00,
516007,MANGALAM TIM,B ,Q,16.90,16.90,15.40,15.80,15.80,17.10,111,39407,632783.00,
516016,SHREYANS IND,B ,Q,158.60,162.00,158.00,158.40,159.35,155.95,110,5686,910129.00,
516022,STAR PAPER  ,B ,Q,130.65,139.40,130.60,134.65,134.65,130.55,751,37327,5083256.00,
516030,YASH PAPERS ,X ,Q,51.00,52.10,50.60,50.85,50.65,50.60,100,20442,1046509.00,
516064,ARROWGREEN  ,B ,Q,80.00,80.00,76.05,77.25,78.00,79.00,31,3097,240608.00,
516078,JUMBO BAG   ,Z ,Q,13.05,13.50,13.01,13.50,13.50,13.22,4,3309,44567.00,
516082,N.R.AGARWAL ,B ,Q,333.90,359.85,333.90,348.25,349.90,330.50,262,4328,1509953.00,
516086,SH.RAJES.PAP,XT,Q,7.38,7.40,7.38,7.40,7.40,7.06,3,3600,26570.00,
516092,3PLAND      ,B ,Q,9.55,11.25,9.55,11.25,11.25,10.23,3,345,3646.00,
516096,SANGAL PAPER,XT,Q,155.00,155.00,155.00,155.00,155.00,155.00,1,2,310.00,
516106,SH.KARTHIK P,X ,Q,10.30,11.00,10.02,10.88,10.88,10.60,14,4554,47731.00,
516108,S.I.PAPER   ,XT,Q,83.50,83.50,80.00,81.00,81.00,82.00,15,7462,607214.00,
516110,SCANDENT    ,XT,Q,9.18,9.18,9.18,9.18,9.18,8.75,1,5,45.00,
517015,VINDHYA TELE,B ,Q,1383.00,1398.85,1356.05,1364.55,1365.00,1363.20,90,796,1091932.00,
517035,RUTTONSHA IN,X ,Q,37.55,38.95,34.50,36.15,36.15,38.15,28,1665,61043.00,
517041,ADORWELDING ,B ,Q,340.00,346.20,340.00,346.20,346.20,339.65,7,7,2403.00,
517059,SALZER ELEC ,B ,Q,123.00,123.00,123.00,123.00,123.00,122.60,1,50,6150.00,
517063,JETINFOTRAN ,X ,Q,33.20,34.00,33.00,34.00,34.00,33.65,7,490,16245.00,
517080,HIGHGROUND  ,B ,Q,7.02,7.21,7.02,7.14,7.21,7.16,20,10488,74910.00,
517096,APLAB LTD.  ,XT,Q,8.00,8.00,8.00,8.00,8.00,7.72,2,91,728.00,
517119,PCS TECH    ,X ,Q,9.17,9.18,9.17,9.18,9.18,9.14,3,250,2293.00,
517146,USHA MART.LT,B ,Q,40.25,41.15,36.85,37.00,37.10,40.65,666,174141,6737708.00,
517166,SPEL SEMICON,X ,Q,6.95,7.20,6.57,7.18,7.19,7.10,45,13055,90292.00,
517168,SUBROS LTD. ,B ,Q,306.00,306.00,284.00,284.50,284.35,297.25,152,2103,608429.00,
517174,HONEYWELL   ,A ,Q,23075.00,23300.00,23075.00,23277.60,23300.00,23312.50,22,120,2773388.00,
517201,SWITCH.TECH.,XT,Q,52.15,52.15,52.15,52.15,52.15,52.15,2,900,46935.00,
517206,LUMAX IND   ,B ,Q,1830.00,1830.00,1789.05,1817.10,1818.00,1800.30,13,56,101093.00,
517224,SUJANA INDUS,T ,Q,0.29,0.30,0.28,0.29,0.28,0.29,10,7165,2067.00,
517230,PREM.AU.ELEC,B ,Q,2.80,2.85,2.80,2.85,2.85,2.85,2,505,1414.00,
517236,CALCOM VISIO,X ,Q,29.00,29.00,28.85,29.00,29.00,28.75,8,1191,34478.00,
517238,DYNAVISION  ,XT,Q,49.65,52.00,49.65,52.00,52.00,52.00,7,840,43092.00,
517246,BCC FUBA    ,XT,Q,10.74,10.74,10.33,10.41,10.41,10.53,4,1432,15224.00,
517258,PRECISION EL,XT,Q,26.30,26.35,26.30,26.35,26.35,27.50,8,107,2817.00,
517271,HBL P SYS   ,B ,Q,24.50,24.50,24.20,24.50,24.50,24.40,29,2122,51894.00,
517288,GUJARATPOLY ,X ,Q,28.85,29.50,26.15,29.40,29.50,26.85,57,9213,263069.00,
517300,GUJ.IND.POW.,B ,Q,71.70,72.35,70.60,71.90,71.90,71.25,102,10337,734599.00,
517330,CMI LTD.    ,B ,Q,138.50,138.95,134.95,136.60,136.15,139.65,59,2431,333425.00,
517334,MOTHERSON SS,A ,Q,151.50,151.85,147.65,150.90,150.90,150.20,1649,169718,25430881.00,
517344,MINDTECK (I),B ,Q,39.25,41.95,39.25,40.70,40.70,41.25,20,2007,82753.00,
517354,HAVELLSINDIA,A ,Q,763.00,764.60,752.50,761.95,761.95,763.05,794,69081,52250947.00,
517356,ACI INFOCOM ,X ,Q,0.28,0.28,0.28,0.28,0.28,0.29,3,615,172.00,
517380,IGARSHI MOT ,B ,Q,359.00,359.00,343.50,345.45,345.45,346.15,75,662,229431.00,
517385,SYMPHONY    ,A ,Q,1352.00,1372.60,1346.40,1352.00,1346.50,1359.05,133,464,628192.00,
517411,SHYAM TELEC.,B ,Q,7.02,7.02,6.36,6.36,6.36,6.69,5,2149,13819.00,
517415,LEE&NEE SOFT,XT,Q,1.29,1.29,1.29,1.29,1.29,1.35,6,1340,1728.00,
517417,PATEL AIRTEM,X ,Q,100.50,100.50,99.35,99.70,99.35,100.40,24,2245,224947.00,
517421,BFLYGANDHI  ,B ,Q,192.00,193.00,190.90,191.80,190.90,193.30,49,615,118126.00,
517429,ATHENAGLO   ,XT,Q,42.55,46.70,42.55,46.15,46.70,44.50,17,3965,181576.00,
517437,DUTRON POLY.,XT,Q,119.85,132.40,119.85,123.45,119.85,126.15,3,12,1463.00,
517447,R.S.SOFTWARE,B ,Q,32.00,32.20,31.05,31.20,31.05,31.35,94,14681,463092.00,
517449,MAGNA ELECTR,X ,Q,193.95,193.95,186.00,186.10,186.10,191.65,18,1476,275051.00,
517467,MARSONS     ,Z ,Q,1.82,1.82,1.82,1.82,1.82,1.74,9,8942,16274.00,
517477,ELNET TECH. ,X ,Q,95.50,95.50,95.25,95.25,95.25,95.40,5,416,39626.00,
