SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500825,BRITANIA IND,A ,Q,2995.90,2995.90,2948.55,2973.85,2973.85,2972.90,1438,57874,171555360.00,
500830,COLGATE PALM,A ,Q,1219.90,1235.50,1216.50,1230.95,1234.55,1219.90,512,10038,12303770.00,
500840,EIH LTD.    ,A ,Q,197.80,197.80,192.55,194.25,194.25,195.30,262,205640,40303630.00,
500850,INDIAN HOTEL,A ,Q,158.00,158.00,150.40,152.35,152.35,157.00,791,60233,9197646.00,
500870,CASTROL     ,A ,Q,169.65,169.70,166.25,166.85,166.85,169.60,584,50169,8420151.00,
500875,ITC LTD.    ,A ,Q,292.55,296.70,292.40,296.35,296.35,292.55,2700,849108,251030064.00,
500877,APOLLO TYRES,A ,Q,219.50,219.55,214.50,215.95,216.80,220.20,1140,107658,23273650.00,
500878,CEAT LIMITED,A ,Q,1100.00,1100.00,1075.45,1093.55,1094.00,1107.25,1212,59031,64064013.00,
500940,FINOLEX IND.,A ,Q,491.00,492.00,485.00,485.65,485.65,491.30,96,2175,1061713.00,
501148,DALAL ST INV,X ,Q,351.50,351.50,351.50,351.50,351.50,344.65,3,33,11599.00,
501150,CENTRUM CAP ,A ,Q,34.55,34.55,33.70,34.05,34.05,34.20,66,25135,855672.00,
501179,OSCAR INV.  ,Z ,Q,9.90,9.90,9.85,9.85,9.85,10.36,9,1925,19011.00,
501242,TCI FINANCE ,B ,Q,14.60,14.60,14.60,14.60,14.60,15.15,1,1,14.00,
501298,INDUS.&PRUD.,X ,Q,1000.00,1000.00,998.00,1000.00,1000.00,1000.00,7,56,55990.00,
501301,TATA INVEST.,A ,Q,857.15,863.00,855.10,857.15,857.50,861.50,93,1452,1248618.00,
501314,GROMOTRADE  ,X ,Q,452.75,453.70,452.75,453.05,453.05,452.50,259,12000,5437335.00,
501343,MOTOR&GEN.FI,B ,Q,49.00,49.00,46.00,46.95,46.95,44.55,4,103,4741.00,
501391,W.H.BRADY   ,X ,Q,117.35,117.45,117.00,117.35,117.00,122.50,7,72,8449.00,
501421,SOLIX TECHNO,XT,Q,117.70,117.70,117.70,117.70,117.70,112.70,1,1,117.00,
501423,SHA ENG PLA ,X ,Q,769.85,769.85,744.00,759.95,760.00,756.25,35,864,650526.00,
501425,BOM.BURMAH  ,A ,Q,1276.25,1295.00,1271.15,1285.45,1279.90,1283.10,213,1642,2101768.00,
501455,GREAVES COTT,A ,Q,145.75,147.30,144.90,146.20,146.40,145.55,193,15254,2227483.00,
501700,INDIA NIVEH ,X ,Q,66.45,66.50,66.25,66.40,66.40,66.30,32,6458,428661.00,
501831,COAST CORP  ,X ,Q,344.50,373.90,331.00,364.50,364.50,348.30,353,41285,14627103.00,
501833,CHOWGULE ST ,XT,Q,7.95,8.75,7.95,8.67,8.65,8.36,6,1237,9861.00,
501848,GLOBAL OFFS ,B ,Q,11.45,11.72,11.22,11.69,11.72,11.43,31,3343,38669.00,
502015,ASIIL       ,X ,Q,15.40,15.40,14.52,15.13,15.13,14.86,16,4367,64618.00,
502090,SAGAR CEM.  ,B ,Q,631.25,631.25,630.00,630.00,630.00,633.20,3,52,32762.00,
502137,DECAN CEMENT,B ,Q,411.00,411.00,407.05,409.00,409.00,416.30,15,384,157039.00,
502157,MANGALAM CEM,B ,Q,264.80,272.50,262.30,271.60,272.50,267.65,50,5135,1389834.00,
502168,N C L IND.  ,B ,Q,150.00,150.00,144.35,146.70,145.50,149.75,56,847,124315.00,
502175,SAURAS.CEM. ,X ,Q,47.25,50.00,47.25,49.50,49.95,48.95,171,19707,977291.00,
502180,SRI DIGV CEM,X ,Q,21.70,21.70,20.80,21.15,21.50,21.55,116,119450,2509928.00,
502219,BOROSIL GLAS,B ,Q,216.55,219.00,213.85,215.75,215.75,215.30,379,19097,4128038.00,
502271,RAASI REFRAC,XT,Q,6.20,6.20,6.20,6.20,6.20,6.52,3,115,713.00,
502281,TRIVENI GLAS,XT,Q,11.21,11.80,11.20,11.20,11.20,11.78,13,14651,165995.00,
502330,IPAPPM      ,B ,Q,455.05,479.00,455.05,477.30,477.30,453.05,1444,32921,15557366.00,
502355,BALKRISH IND,A ,Q,977.25,980.00,961.20,973.25,975.00,976.40,734,22418,21740727.00,
